Company,Year,Debt Ratio
Microsoft,2022,0.5435204473193729
Microsoft,2023,0.499429578422044
Microsoft,2024,0.47579774407756903
Tesla,2022,0.4425660084043819
Tesla,2023,0.4033934232493575
Tesla,2024,0.3964118948144507
Apple,2022,0.8563535598361469
Apple,2023,0.8237407929480435
Apple,2024,0.8439640528248123
