Company,Year,Profit Margin
Microsoft,2022,0.3668633681343622
Microsoft,2023,0.3414623787839464
Microsoft,2024,0.35955972944084985
Tesla,2022,0.15451376101740688
Tesla,2023,0.15472290824920173
Tesla,2024,0.07322141467908691
Apple,2022,0.2530964070519973
Apple,2023,0.2530623426432028
Apple,2024,0.23971255769943867
